Id,Name,Country,Latitude,Longitude,Government_Area,Market,Street,Suburb,Availability_30,Availability_365,Availability_60,Availability_90,Bathrooms,Bed_Type,Bedrooms,Beds,Number_Of_Reviews,Price,Property_Type,Review_Scores_Accuracy,Review_Scores_Checkin,Review_Scores_Cleanliness,Review_Scores_Communication,Review_Scores_Location,Review_Scores_Rating,Review_Scores_Value,Room_Type,Security_Deposit,Accommodates,Image
10006546,Ribeira Charming Duplex,Portugal,-8.61308,41.1413,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,"Porto, Porto, Portugal","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",28,239,47,74,1,Real Bed,3,5,51,80,House,9,10,9,10,10,89,9,Entire home/apt,200,8,https://a0.muscache.com/im/pictures/e83e702f-ef49-40fb-8fa0-6512d7e26e9b.jpg?aki_policy=large
10009999,Horto flat with small garden,Brazil,-43.23074991,-22.96625355,Jardim Botânico,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,0,0,0,0,1,Real Bed,1,2,0,317,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large
1001265,Ocean View Waikiki Marina w/prkg,United States,-157.83919,21.28634,Primary Urban Center,Oahu,"Honolulu, HI, United States",Oʻahu,16,343,46,76,1,Real Bed,1,1,96,115,Condominium,9,9,8,9,10,84,9,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/15037101/5aff14a7_original.jpg?aki_policy=large
10021707,Private Room in Bushwick,United States,-73.93615,40.69791,Bushwick,New York,"Brooklyn, NY, United States",Brooklyn,0,0,0,0,1,Real Bed,1,1,1,40,Apartment,10,10,10,10,8,100,8,Private room,0,1,https://a0.muscache.com/im/pictures/72844c8c-fec2-440e-a752-bba9b268c361.jpg?aki_policy=large
10030955,Apt Linda Vista Lagoa - Rio,Brazil,-43.20504708,-22.97195099,Lagoa,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,28,363,58,88,2,Real Bed,1,1,0,701,Apartment,0,0,0,0,0,0,0,Private room,1000,2,https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large
1003530,New York City - Upper West Side Apt,United States,-73.96523,40.79962,Upper West Side,New York,"New York, NY, United States",Manhattan,0,93,0,0,1,Real Bed,1,1,70,135,Apartment,10,10,9,10,10,94,10,Private room,0,2,https://a0.muscache.com/im/pictures/15074036/a97119ed_original.jpg?aki_policy=large
10038496,Copacabana Apartment Posto 6,Brazil,-43.19084919,-22.98433936,Copacabana,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,7,118,19,33,2,Real Bed,1,3,70,119,Apartment,10,10,10,10,10,98,10,Entire home/apt,600,4,https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large
10047964,Charming Flat in Downtown Moda,Turkey,29.03133,40.98585,Kadikoy,Istanbul,"Kadıköy, İstanbul, Turkey",Moda,27,362,57,87,1,Real Bed,2,6,1,527,House,10,10,10,10,10,100,10,Entire home/apt,0,6,https://a0.muscache.com/im/pictures/231120b6-e6e5-4514-93cd-53722ac67de1.jpg?aki_policy=large
10051164,Catete's Colonial Big Hause Room B,Brazil,-43.18015675,-22.92638235,Catete,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,10,296,10,21,4,Real Bed,1,8,1,250,House,10,8,6,8,8,80,8,Private room,0,8,https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large
10057447,Modern Spacious 1 Bedroom Loft,Canada,-73.59111,45.51889,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Mile End,0,0,0,0,1,Real Bed,1,2,0,50,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/9fa69ad8-c9be-45dd-966b-b8f59bdccb2b.jpg?aki_policy=large
